'Name', 'Branch', 'Area code', 'Rating', 'Phone number', 'Reviews'
'Chase Bank', "'65 Worth St' 'TriBeCa' 'New York NY 10013'", 10013, 5.0, 6466132460, "I don't normally like going into banks. They're crowded and quiet and everyone seems too busy to help. The staff here is great though (5 bonus stars to..."
'Bank of America', "'277 Canal St' 'SoHo' 'New York NY 10013'", 10013, 4.0, 6468331982, 'So I lost my card hours before leaving for a trip.  Jeffrey and Isabella were amazing helping me get squared away so I could get a new one just before...'
'Chase Bank', "'45 Wall St' 'Financial District' 'New York NY 10005'", 10005, 4.0, 2124951085, 'I have been a Chase customer for over a decade and have always had great experiences with them.\n\nToday I opened a business account with Walter Goode and he...'
'Chase Bank', "'253 Broadway' 'TriBeCa' 'New York NY 10007'", 10007, 4.0, 2125777020, 'I opened an account at this bank in record time once.  I had about 10 min.  I went in sat with a manager and opened an account in under 10 min.  Great...'
'Bank of America', "'260 Greenwich St' 'TriBeCa' 'Manhattan NY 10007'", 10007, 3.5, 2125712404, 'A very comfortable location of BOA located in walking blocks from my office location. For some reason this branch never gets crowded as compared to the...'
'Chase Bank', "'214 Broadway' 'Financial District' 'New York NY 10038'", 10038, 2.5, 2125282496, 'I seriously hate Chase. Seriously with a burning passion deep in my soul I HATE Chase bank. The biggest reason being that they have screwed up information...'
'TD Bank', "'182 Broadway' 'Financial District' 'New York NY 10038'", 10038, 3.5, 2122330275, 'I needed to exchange a bunch of coins in for cash so I went to Td bank. When I became confused by an idiot proof machine they helped without judging my...'
'Chase Bank', "'28 Liberty St' 'Financial District' 'New York NY 10005'", 10005, 3.0, 2125523819, "First thing about this building is that it's being sold.  I believe they are still trying to keep the ground level bank but it's hard to say.\n\nAnyway- onto..."
'Bank of America', "'26 Broadway' 'Financial District' 'New York NY 10004'", 10004, 2.5, 2127471400, 'I always have a great experience with everyone here. Love this branch. Great job guys.'
'Chase Bank', "'525 Broadway' 'SoHo' 'New York NY 10012'", 10012, 3.0, 2126250778, "Wow I just had stellar service at this branch today. \n\nChase Private Client banker Haley opened a new business account for me in 10 minutes (where I'd been..."
'Citibank', "'2 Mott Street' 'Chinatown' 'New York NY 10013'", 10013, 4.5, 9177464475, 'This is my favorite Citibank in New York City. The lines go quickly and the staff are always friendly and helpful.'
'Chase Bank', "'55 Water St' 'New York NY 10041'", 10041, 4.0, 2126386892, 'Love this place! The staff is supper friendly! And very knowledgable. The place is brand new and up to date and newly renovated! They have supper cool new...'
'American Express Company', "'200 Vesey St' 'Battery Park' 'New York NY 10285'", 10285, 3.5, 2126402000, "I've been a card member for over 30 years.  In fact shortly after college when no other major credit card would extend credit to me AmEx did.  I've been..."
'Wells Fargo Bank', "'463 Broadway' 'SoHo' 'New York NY 10013'", 10013, 2.5, 2129414440, 'Love the hours open til 7 pm weekdays and the\nStaff is polite they have free lollipops and today they helped me as soon as I walked in when they opened....'
'Citibank', "'120 Broadway' 'Financial District' 'New York NY 10271'", 10271, 2.5, 6462486660, 'The people here are super. This is a full service bank so you can perform all sorts of transactions here. ATMs on bottom floor tellers on second floor....'
'Capital One Bank', "'277 Broadway' 'TriBeCa' 'New York NY 10007'", 10007, 4.5, 2122670726, 'Phenomenal customer service and professionalism. Highly recommended for banking near City Hall.'
'Chase Bank', "'221 Canal St' 'Chinatown' 'New York NY 10013'", 10013, 3.5, 2129257885, 'The service is quick. The staff are friendly enough... but the thing that really bothers me about this branch is the structural interior design. You enter...'
'Citibank', "'111 Wall St' 'Financial District' 'New York NY 10005'", 10005, 3.0, 6462486738, 'Wednesday December 23 2009: 1:32pm\n\nRachel and Chun approach the teller to deposit a check.\n\nTeller:  Hi!\nRachel: Hi!\nChun: Good Afternoon\n\n*1 minute of...'
